job_id,title,organization,department,location,posting_date,closing_date,telework,grade,job_series,salary_min,salary_max,salary_rate,apply_url
126651-01-SEMO,IT Architecture Integrator,Defense Intelligence Agency,Department of Defense,"Washington, District of Columbia",2026-02-06T00:00:00.0000,2026-03-12T23:59:59.9970,,SL,2210,151661.0,209600.0,PA,https://www.usajobs.gov:443/job/857718200
126549-02-BG,"Information Technology Career Field (Cyber Security, IT Data Specialist, IT Engineer) STEM",Defense Intelligence Agency,Department of Defense,"Washington, District of Columbia",2026-01-30T00:00:00.0000,2026-07-30T23:59:59.9970,,GG,2210,132751.0,197200.0,PA,https://www.usajobs.gov:443/job/856267100
126560-02-BG,"Information Technology (Cyber Security, IT Data Specialist, IT Engineer) (STEM)",Defense Intelligence Agency,Department of Defense,"Washington, District of Columbia",2026-01-30T00:00:00.0000,2026-07-30T23:59:59.9970,,GG,2210,167446.0,197200.0,PA,https://www.usajobs.gov:443/job/856267600
126567-02-AG,"JAN 2026 IT Career Field: IT Mission Support, IT Specialist GG 15 (Non STEM)",Defense Intelligence Agency,Department of Defense,"Washington, District of Columbia",2026-01-30T00:00:00.0000,2026-07-30T23:59:59.9970,,GG,2210,126384.0,164301.0,PA,https://www.usajobs.gov:443/job/856267800
126561-01-AG,"JAN 2026 IT CAREER FIELD: IT Mission Support, IT Specialist (NON STEM)",Defense Intelligence Agency,Department of Defense,"Washington, District of Columbia",2026-01-30T00:00:00.0000,2026-07-30T23:59:59.9970,,GG,2210,90925.0,139684.0,PA,https://www.usajobs.gov:443/job/856267700
